Date,Region_ID,Meals_Distributed,Meals_Requested,Temperature,Rainfall,Festival_Flag,Disaster_Flag,Population,Food_Availability_Index
2021-01-01,R01,2179,2330,24.9,2.5,0,0,2043395,0.9524
2021-01-02,R01,2062,2304,20.1,6.5,0,0,2042325,0.9328
2021-01-03,R01,1638,1852,23.8,4.4,0,0,2052461,0.7867
2021-01-04,R01,1658,1799,25.4,0.0,0,0,2055645,0.9409
2021-01-05,R01,1518,1729,22.9,0.0,0,0,2043280,0.894
2021-01-06,R01,1685,2009,25.8,12.8,0,0,2044080,0.9007
2021-01-07,R01,1697,2045,26.0,0.0,0,0,2064586,0.9408
2021-01-08,R01,1819,2235,27.4,3.7,0,0,2063273,0.8857
2021-01-09,R01,1761,2035,23.5,1.8,0,0,2046914,0.7831
2021-01-10,R01,1794,1991,23.3,0.0,0,0,2054722,0.8229
2021-01-11,R01,1540,1875,28.0,1.3,0,0,2038063,0.9365
2021-01-12,R01,1403,1688,24.1,6.1,0,0,2045689,0.8423
2021-01-13,R01,2418,2483,23.6,0.0,1,0,2046177,0.9663
2021-01-14,R01,2503,2645,23.6,0.2,1,0,2050912,0.8601
2021-01-15,R01,2337,2625,20.4,4.8,1,0,2038029,0.9034
2021-01-16,R01,2772,2772,23.4,1.1,1,0,2060945,0.898
2021-01-17,R01,2072,2319,24.8,1.1,1,0,2040652,0.8831
2021-01-18,R01,1566,1798,26.6,5.9,0,0,2063603,0.8821
2021-01-19,R01,1284,1589,25.2,1.3,0,0,2058257,0.9219
2021-01-20,R01,1429,1740,21.7,1.2,0,0,2044877,0.9454
2021-01-21,R01,1441,1677,25.3,0.0,0,0,2047260,0.8846
2021-01-22,R01,1723,1824,24.4,1.7,0,0,2048704,0.8971
2021-01-23,R01,1763,2016,25.6,0.0,0,0,2042060,0.9453
2021-01-24,R01,1374,1650,23.4,7.9,0,0,2036174,0.8825
2021-01-25,R01,2070,2204,23.0,0.0,1,0,2052491,0.8984
2021-01-26,R01,1801,2039,24.5,0.0,1,0,2063004,0.8651
2021-01-27,R01,1665,1807,17.3,3.5,1,0,2062173,0.8532
2021-01-28,R01,1604,1778,22.4,0.0,0,0,2045735,0.9298
2021-01-29,R01,1690,1792,25.6,2.6,0,0,2063132,0.8861
2021-01-30,R01,1606,1824,25.0,2.3,0,0,2053848,0.9488
2021-01-01,R02,1047,1243,23.1,0.0,0,0,682115,0.865
2021-01-02,R02,1099,1275,17.7,2.2,0,0,681069,0.9349
